$100-million-a-year,1
$10000-$15000,1
$17-a-barrel,1
$50-a-share,2
$54-a-share,1
10-,1
10-gallon,1
10-story-high,1
10-week-long,2
10-year,2
100-acre,2
100-mile,1
1000-room,1
1000-watt,1
101-0,1
11-day,1
11-day-old,1
11-state,1
12-inch,1
12-member,1
12-month,1
12-year-old,1
13-year,1
13-year-old,1
14-inch,1
14-year-old,1
14.7-million,1
15-44,1
15-mile,1
15000-member,2
15000-strong,1
16-year-old,1
16-year-olds,1
17-year-old,1
18-year-old,2
185-group,1
19-inch-high,1
19-year,1
19-year-old,2
1957-61.,1
1987-88,1
2-day-old,1
2-foot,1
2-man,1
200-foot,1
202-member,1
21-year-old,1
22-city,1
22-nation,1
22-year,1
23-year-old,4
24-hour,1
25-35,1
25-cent,1
25-year-old,3
250-350,1
255-177,1
27-6,1
290085-ton,2
2{-hour,1
3-D,1
3-foot,2
3-year-old,2
30-Dec.,1
30-member,1
30-minute,2
300-mile,1
31-point,1
3100-ton,1
32-4,1
33-year-old,2
345000-gallon,1
35663-ton,1
37-year-old,1
4-5.,1
4-minute,1
4-month-old,1
4-year-old,1
40-foot,1
40-year-old,1
445-foot,1
45-minute,1
46723-ton,2
5-day-old,1
5-year-old,1
50-to-1,1
561-member,1
6-7,1
6-foot,1
6-year-old,1
60-,1
60-day,7
60-mile,1
60-year-old,1
62-to-64-degree,1
63132-5199.,2
63132-5200.,1
6{-year-old,1
7-5,1
7-year-old,1
70-degree,1
77-member,1
7{-year-old,3
8-4,1
8-year-old,1
800-873-3768.,1
84-percent,1
85-year-old,3
89-degree,1
9-3,1
9-year-old,1
9000-member,1
92-0,1
97-3,1
AIDS-ARC,1
AM-Afghan,1
AM-Caucus,1
AM-Elderly,1
AM-Heat,1
AM-Iran-Iraq.,1
AM-Sioux,1
AM-Unsafe,1
Abu-Lughud,2
African-ruled,1
Afro-American,2
Am-Isreal.,1
American-Caribbean,1
American-Taiwanese,1
American-made,1
American-manned,1
Arab-Israeli,5
Arab-owned,1
Arab-run,1
Armenian-dominated,1
Armenian-language,2
Baptist-supported,1
Boston-based,1
British-Irish,3
Burstion-Wade,1
CBS-TV,1
CH-53D,1
Carsey-Werner,1
Chicago-based,1
Chicago-bound,1
Chinese-held,1
Chong-nam,1
Contra-supply,1
Cuban-,1
D-Calif.,5
D-Calif.:,1
D-Mass.,3
D-Mich.,1
D-N.J.,3
D-N.Y.,3
D-Neb.,2
D-Pa.,2
D-Tex.,1
D-Texas,4
D-Vt.,1
D-W.Va.,1
DARP-PAS-EAW,1
Dallas-Fort,1
Diego-based,1
Doo-hwan.,1
EPA-approved,3
Ecuador-born,1
Equadorean-born,1
F-1s,1
F-5,1
F-5s,1
Flyers-Washington,1
French-built,1
Ga.-based,1
Hacienda-La,1
Hangzhou-bound,1
Hans-Joachim,1
Hans-Juergen,1
Hewlett-Packard,10
House-Senate,2
Indian-brokered,1
Iran-Contra,12
Iran-Iraq,4
Israel-appointed,1
Israeli-appointed,3
Israeli-held,1
Israeli-occupied,3
Jeep-like,1
Kuo-kwa,1
Kyung-hwan,1
Kyung-hwan.,1
Large-scale,1
Lisbon-based,1
London-based,2
M-16,1
Manila-area,1
Marxist-led,1
May-June,1
Md.-based,1
Minneapolis-St.,1
Nablus-Tulkarm,2
Nagorno-Karabahk,1
Nagorno-Karabakh,7
Nagorno-Karabakh's,1
Nagorno-Karabakh.,5
Ninety-nine,1
PLO-approved,1
PM-Israel,1
PM-Panama,1
PM-Political,1
PM-Shultz-Palestinians,1
PT-109,1
Palestinian-American,1
Palestinian-Americans,1
Point-Pepperell,1
Poli-Grip,1
Polish-American,2
Post-Dispatch,2
Postcard-clear,1
Prosecutor-General,1
Protestant-dominated,1
Prudential-Bache,1
R-Alaska,1
R-Ark.,1
R-Conn.,1
R-Ga.,1
R-Idaho.,1
R-Ill.,1
R-N.C.,1
R-N.H.,1
R-Texas,1
R-Va.,1
R-Wash.,2
Roach-Off.,1
Rubis-class,1
SL-4,2
SU-22,1
Sandinista-Contra,1
Sandinsta-Contra,1
Secretary-General,5
Seven-year-old,1
Shultz-Shevardnadze,1
Six-Day,1
South-West,1
Soviet-backed,2
Soviet-bloc,1
Soviet-built,2
Star-Telegram.,1
Sukhoi-22,1
Tae-woo,1
Trafalgar-class,1
Turkish-held,1
Twenty-four,1
Twenty-two,1
U.N.-brokered,1
U.N.-sponsored,2
U.S.-Nicaragua,1
U.S.-Nicaraguan,1
U.S.-Panamanian,1
U.S.-Soviet,3
U.S.-backed,6
U.S.-built,2
U.S.-flagged,1
U.S.-purchased,3
U.S.-sponsored,1
U.S.-supported,2
U.S.-trained,1
US-Nicaragua,1
University-based,1
Whirlpool-Roper,1
Wisconsin-Madison,1
Won-il,1
York-based,1
``Buy-American'',1
``all-round,1
``baby-bust'',1
``couch-potato,1
``eye-in-the,1
``high-karat'',1
``lead-footed.'',1
``mean-spirited'',1
``non-lethal'',1
``punch-you-in-the-nose,1
``shoot-to-kill'',1
a,23931
aachen,1
abandon,14
abandoned,29
abbey,19
abby,1
abc,3
abducted,1
abduction,2
abdullah,1
aberdeen,14
aberration,1
abide,2
abigail,1
abilities,13
ability,94
abit,119
able,317
abnormally,1
aboard,6
abolish,1
abolished,12
abolition,12
abortion,12
abortions,4
about,2162
above,265
abraham,1
abroad,43
abrogated,2
abruptly,12
abscessed,1
absence,59
absent,15
absentee,2
absolute,36
absolutely,61
absorbed,15
abstract,19
abu,10
abuse,35
abused,1
abusers,1
abuses,1
academic,47
academy,19
accent,14
accept,109
acceptable,38
acceptance,28
accepted,94
accepting,18
access,103
accessible,16
accident,70
accidentally,2
accidents,24
acclaim,3
acclaimed,2
accommodate,14
accommodation,44
accommodations,1
accompanied,36
accompany,1
accomplice,1
accomplish,2
accomplished,4
accomplishment,1
accomplishments,2
accord,15
according,22
accordingly,23
accordingto,157
accords,1
account,161
accountability,12
accountants,12
accounted,15
accounting,39
accounts,73
accuracy,17
accurate,29
accurately,15
accusations,1
accused,66
accuses,1
accusing,2
ace,11
achieve,73
achieved,82
achievement,32
achievements,16
achieving,19
acid,51
acids,10
ackerman,8
acknowledge,17
acknowledged,26
aco,1
acquaintance,1
acquire,23
acquired,39
acquiring,2
acquisition,32
acquittal,3
acquittals,1
acquitted,5
acres,22
across,293
act,289
acted,26
acting,48
action,243
action-adventure,1
actions,59
active,78
actively,17
activism,2
activist,9
activists,12
activities,124
activity,126
actor,24
actors,22
actress,14
acts,50
actual,68
actually,267
acute,25
ad,4
adam,35
adamishin,1
adams,1
adapt,10
adapted,14
add,85
added,174
addict,1
addictive,1
adding,39
addition,27
additional,86
address,79
addressed,29
addresses,1
addressing,14
adds,23
adequate,39
adequately,13
adhered,1
adhesive,1
adjacent,13
adjourned,2
adjudication,2
adjust,11
adjusted,11
adjustment,14
adjustments,2
adm,1
administered,1
administering,1
administration,127
administrative,44
admired,13
admission,25
admit,41
admits,15
admitted,67
admitting,1
adolfo,2
adopt,26
adopted,51
adopting,2
adoption,16
adorns,2
adriaan,1
ads,5
adult,47
adults,35
advance,41
advanced,54
advances,14
advancing,1
advantage,79
advantages,29
adventure,15
adverse,13
adversely,1
advertise,1
advertisement,12
advertisements,10
advertisers,9
advertising,50
advice,106
advise,20
advised,29
adviser,20
advisers,19
advises,1
advising,2
advisory,18
advocacy,1
advocate,1
advocated,1
advocates,2
aeroflot,1
aeronautics,2
aerospace,3
aesthetic,12
affair,43
affairs,89
affect,50
affected,59
affecting,18
affection,14
affectionately,1
affects,16
affidavit,2
affiliate,1
affiliated,6
affirmative,2
affluent,1
afford,45
afforded,2
afghan,16
afghanistan,20
afire,1
afoot,2
afraid,64
africa,91
african,56
africans,2
afrikaner,3
after,1320
after-tax,1
afternoon,92
afterwards,46
aftra,1
ag,1
again,575
against,643
age,233
aged,45
agencies,42
agency,94
agenda,27
agendas,1
agent,56
agents,48
ages,37
aggregate,11
aggression,14
aggressive,22
aggressively,2
agile,2
aging,4
agnes,1
ago,227
agreatdeal,14
agree,94
agreed,170
agreeing,1
agreement,202
agreements,39
agrees,3
agricultural,46
agriculture,49
aguilar,1
ah,99
aha,26
ahead,75
aheadof,26
ai,36
aid,149
aide,5
aides,10
aiding,3
aids,40
aikhomu,3
ailment,1
ailments,1
aim,67
aimed,46
aiming,10
aims,43
ain,1
air,225
airbases,1
airborne,3
aircraft,70
aires,1
airlift,1
airline,17
airlines,3
airport,37
airports,1
al,15
al-Shawwa,1
ala,2
alan,57
alarm,21
alarming,1
alaska,6
albeit,14
albert,27
album,22
albuquerque,1
alcohol,32
alec,5
alert,2
alerted,1
alerting,1
alex,19
alexander,30
alexandria,3
alfonse,1
alfred,13
algeria,1
ali,15
alice,25
alicia,1
alienated,1
alike,12
alison,15
alittle,104
alive,50
all,2742
all-out,1
allan,11
allegation,1
allegations,27
allege,1
alleged,53
allegedly,19
alleges,2
alleging,2
allegis,1
allen,18
alleys,1
alliance,46
allied,16
allies,22
allocated,17
allocation,20
allotted,1
allow,122
allowance,22
allowances,13
allowed,158
allowing,52
allows,43
allright,64
alluding,1
almost,325
alone,130
along,217
alongside,29
alongwith,51
alot,40
alpha,11
already,357
alright,83
also,1387
altar,4
alter,20
alterations,1
altered,16
altering,2
alternative,94
alternatively,17
alternatives,18
although,445
alto,1
altogether,34
altos,1
aluminium,10
alvin,1
alwa,2
always,475
alyssa,1
am,948
amassed,1
amateur,12
amazed,1
amazing,21
ambassador,19
amber,2
ambient,1
ambition,13
ambitions,10
ambitious,17
ambulance,17
ambulances,1
ambushed,1
ambushing,1
amendment,22
amendments,3
america,148
american,239
americans,47
amid,15
ammunition,3
amnesties,1
amnesty,15
among,262
amongst,45
amore,1
amount,159
amounted,1
amounting,1
amounts,28
amphibians,3
amphibious,1
ams,1
amtrak,6
an,3781
ana,5
anagnost,2
anaheim,1
analyse,13
analysed,19
analyses,11
analysis,132
analyst,7
analysts,17
analyze,1
analyzed,1
analyzing,1
anastasio,1
anatoly,1
anc,10
anchorage,2
ancient,52
and,28698
and-or,2
anderson,19
andersonstown,2
andes,1
andreas,1
andrei,2
andrew,49
andropov,1
andsoon,49
andy,28
angel,14
angela,13
angeles,31
angels,1
anger,35
angering,1
angle,24
angles,13
angola,9
angolan,7
angop,2
angrily,13
angry,47
anguish,1
anguished,1
angular,1
anibal,1
animal,73
animals,86
ann,19
anna,28
annandale,6
anne,45
annenberg,1
annex,1
annexation,9
annie,11
anniversary,27
announce,12
announced,138
announcement,29
announces,3
announcing,6
annual,93
annually,13
annulled,1
anonymity,11
anonymous,14
another,633
answer,146
answered,42
answering,1
answers,32
anthems,1
anthony,24
anti-Chinese,1
anti-Israeli,1
anti-Marxist,1
anti-Noriega,3
anti-Sandinista,1
anti-U.S.,1
anti-administration,1
anti-aircraft,5
anti-apartheid,2
anti-communists,1
anti-discrimination,2
anti-drug,1
anti-government,3
anti-human,1
anti-nuclear,1
anti-ship,2
anti-terrorist,1
anti-toxics,1
anti-war,1
anticipated,12
anticipation,4
antonio,10
anver,1
anxiety,27
anxious,33
any,1320
anybody,53
anyone,163
anything,310
anytime,2
anyway,124
anywhere,42
aoki,1
ap,5
apart,37
apartfrom,65
apartheid,1
apartment,27
apartments,4
ape,1
apologized,1
apostles,2
appalachians,1
appalling,11
apparatus,11
apparent,59
apparently,90
appeal,113
appealed,19
appealing,1
appeals,18
appear,114
appearance,61
appearances,13
appeared,133
appearing,16
appears,84
appease,1
appendix,18
applauded,3
applause,1
apple,27
appleton,1
appliance,2
appliances,1
applicable,14
applicant,12
applicants,13
application,103
applications,66
applied,68
applies,30
apply,80
applying,20
appoint,12
appointed,68
appointive,1
appointment,47
appointments,15
appraisal,11
appraised,1
appreciate,26
appreciated,15
appreciation,13
approach,164
approached,33
approaches,27
approaching,22
appropriate,117
appropriations,1
approval,50
approve,14
approved,57
approves,4
approving,3
approximately,28
april,211
aquino,4
arab,49
arabia,5
arabs,10
arad,2
arafat,21
arap,1
arbitrary,11
archbishop,17
architect,17
architects,11
architectural,12
architecture,28
ard,1
are,5808
area,383
areas,248
aren,7
arena,2
argov,1
argue,44
argued,67
arguello,1
argues,25
arguing,18
argument,85
arguments,41
arias,3
arid,1
arikyan,1
arise,34
arisen,1
arises,18
arising,23
ariz,2
arizona,4
ark,1
arkansas,3
arlington,2
arm,94
armacost,1
armament,2
armaments,1
armed,59
armenia,4
armenian,13
armenians,13
armero,1
armies,10
armor,2
armored,3
arms,135
armstrong,1
army,148
arnold,10
arose,16
around,478
arraigned,1
arraignment,1
arraignments,1
arrange,29
arranged,41
arrangement,35
arrangements,61
arranging,1
array,11
arrest,25
arrested,64
arrests,9
arrival,37
arrive,34
arrived,96
arrives,1
arriving,17
arrogance,1
arrow,10
arsenal,12
art,162
artfer,2
arthur,28
article,70
articles,31
artificial,20
artificially,1
artillery,2
artisans,3
artist,42
artistic,20
artists,42
arts,55
arturo,2
as,5740
asfor,25
ash,4
ashamed,12
ashhad,1
ashley,11
ashore,1
ashton,1
asia,30
asian,20
aside,40
asif,157
asitwere,10
ask,204
asked,372
asking,67
asks,22
asleep,25
aslongas,29
asopposedto,17
aspect,45
aspects,76
assailed,1
assassinated,1
assault,26
assaults,1
assembled,1
assembly,57
asserted,1
assertions,1
assess,27
assessed,22
assessing,14
assessment,69
assessments,11
asset,20
assets,43
assign,1
assigned,18
assignment,14
assignments,1
assigns,1
assist,26
assistance,54
assistant,49
assisted,2
assisting,3
assists,1
associate,4
associated,105
associates,1
association,133
associations,20
assoonas,45
assorted,1
assume,42
assumed,42
assumes,10
assuming,19
assumption,31
assumptions,25
assurance,18
assurances,2
assure,3
assured,20
assuring,1
astarte,2
